doi,halId,hal_coverage,upw_coverage,title,hal_docType,hal_location,hal_openAccess_bool,hal_submittedDate,hal_licence,hal_selfArchiving,hal_domain,published_date,published_year,journal_name,journal_issns,publisher,genre,journal_issn_l,oa_status,upw_location,version,suspicious_journal,licence,journal_is_in_doaj,journal_is_oa,author_count,is_paratext
,hal-01963014,in,,Réalité virtuelle et réalité augmentée : mythes et réalités,DOUV,notice,False,2018-12-21 09:27:08,,True,['0.info'],2018-09-01,2018.0,,False,,,,,,,,,,,3.0,
,hal-01967270,in,,L'usage des ambiances. Une épreuve sensible des situations,DOUV,notice,False,2018-12-30 20:51:25,,True,"['0.shs', '0.sde']",2021,2021.0,,False,,,,,,,,,,,4.0,
,hal-01972376,in,,La maîtrise de l'énergie dans les pratiques d'auto-réhabilitation en milieu rural,COUV,notice,False,2019-01-07 16:27:15,,True,['0.shs'],2018,2018.0,,False,,,,,,,,,,,4.0,
,hal-02016753,in,,Architecture et Numérique : l’usage contemporain des technologies de liaisons,DOUV,notice,False,2019-02-12 21:20:04,,True,['0.shs'],2014,2014.0,,False,,,,,,,,,,,3.0,
,hal-02068666,in,,Eurographics Workshop on Urban Data Modelling and Visualisation,DOUV,notice,False,2019-03-15 10:45:05,,True,"['0.info', '0.shs']",2013,2013.0,,False,,,,,,,,,,,2.0,
,hal-02068673,in,,UDMV14: Eurographics Workshop on Urban Data Modelling and Visualisation,DOUV,notice,False,2019-03-15 10:49:20,,True,"['0.info', '0.shs']",2014,2014.0,,False,,,,,,,,,,,2.0,
,hal-02068684,in,,UDMV15: Eurographics Workshop on Urban Data Modelling and Visualisation,DOUV,notice,False,2019-03-15 10:54:48,,True,"['0.info', '0.shs']",2015,2015.0,,False,,,,,,,,,,,2.0,
,hal-02068689,in,,UDMV16: Eurographics Workshop on Urban Data Modelling and Visualisation,DOUV,notice,False,2019-03-15 10:56:47,,True,"['0.info', '0.shs']",2016,2016.0,,False,,,,,,,,,,,2.0,
,hal-02104061,in,,Les facteurs sensoriels du sentiment d'insécurité,COUV,notice,False,2019-04-19 11:25:28,,False,['0.shs'],1992,1992.0,,False,,,,,,,,,,,4.0,
,hal-02104065,in,,Vers une esthétique des ambiances,COUV,file,True,2019-06-11 17:03:13,,False,['0.shs'],2004,2004.0,,False,,,,,,,,,,,1.0,
,hal-02104066,in,,La ville sonnante,COUV,file,True,2019-06-12 10:28:11,,False,['0.shs'],2015,2015.0,,False,,,,,,,,,,,1.0,
,hal-02105506,in,,The fabulous history of immersive devices,COUV,file,True,2019-05-19 11:59:18,http://creativecommons.org/licenses/by-nd/,True,['0.shs'],2019-03-15,2019.0,,False,,,,,,,,,,,1.0,
,hal-02135582,in,,"Noir-Neonoir-Postnoir. [coord. du dossier, N°36 Revue La Furia Umana]",DOUV,notice,False,2019-05-21 14:09:45,,False,['0.shs'],2019-04,2019.0,La Furia Umana,2255-2812,Duen de Bux,,,,,,,,,,3.0,
,hal-02164544,in,,Canopea ® prototype expérimental d'habitat solaire,COUV,file,True,2019-06-25 10:54:17,,False,['0.shs'],2015,2015.0,,False,,,,,,,,,,,1.0,
,hal-02164588,in,,The Soundscape of a City in the Nineteenth Century,COUV,file,True,2019-07-11 17:57:45,,False,['0.shs'],2016,2016.0,,False,,,,,,,,,,,1.0,
